utr_reference,narration_text,credited_amount,currency,value_date,deduction_fee
UTR500001,PAYMENT FOR ORD-1001 REF UTR500001,2114.3,INR,2026-08-21,0.0
UTR500002,PAYMENT FOR ORD-1002 REF UTR500002,2523.3,INR,2026-08-08,0.0
UTR500003,PAYMENT FOR ORD-1003 REF UTR500003,6617.87,INR,2026-08-19,0.0
UTR500004,PAYMENT FOR ORD-1004 REF UTR500004,3873.58,INR,2026-08-07,0.0
UTR500005,PAYMENT FOR ORD-1005 REF UTR500005,3383.15,INR,2026-08-18,0.0
UTR500006,PAYMENT FOR ORD-1006 REF UTR500006,7013.53,INR,2026-08-08,0.0
UTR500007,PAYMENT FOR ORD-1007 REF UTR500007,10623.02,INR,2026-08-06,0.0
UTR500008,PAYMENT FOR ORD-1008 REF UTR500008,3622.05,INR,2026-08-05,0.0
UTR500009,PAYMENT FOR ORD-1009 REF UTR500009,6008.95,INR,2026-08-03,0.0
UTR500010,PAYMENT FOR ORD-1010 REF UTR500010,4335.55,INR,2026-08-20,0.0
UTR500011,PAYMENT FOR ORD-1011 REF UTR500011,2309.98,INR,2026-08-18,0.0
UTR500012,PAYMENT FOR ORD-1012 REF UTR500012,4751.09,INR,2026-08-18,0.0
UTR500013,PAYMENT FOR ORD-1013 REF UTR500013,3288.18,INR,2026-08-19,0.0
UTR500014,PAYMENT FOR ORD-1014 REF UTR500014,11709.49,INR,2026-08-08,0.0
UTR500015,PAYMENT FOR ORD-1015 REF UTR500015,6011.83,INR,2026-08-04,0.0
UTR500016,PAYMENT FOR ORD-1016 REF UTR500016,5867.62,INR,2026-08-06,0.0
UTR500017,PAYMENT FOR ORD-1017 REF UTR500017,1535.34,INR,2026-08-21,0.0
UTR500018,PAYMENT FOR ORD-1018 REF UTR500018,7202.77,INR,2026-08-06,0.0
UTR500019,PAYMENT FOR ORD-1019 REF UTR500019,12721.35,INR,2026-08-11,0.0
UTR500020,PAYMENT FOR ORD-1020 REF UTR500020,12173.16,INR,2026-08-02,0.0
UTR500021,PAYMENT FOR ORD-1021 REF UTR500021,3559.25,INR,2026-08-03,0.0
UTR500022,PAYMENT FOR ORD-1022 REF UTR500022,10003.86,INR,2026-08-07,0.0
UTR500023,PAYMENT FOR ORD-1023 REF UTR500023,4340.76,INR,2026-08-05,0.0
UTR500024,PAYMENT FOR ORD-1024 REF UTR500024,6712.29,INR,2026-08-19,0.0
UTR500025,PAYMENT FOR ORD-1025 REF UTR500025,3680.15,INR,2026-08-12,0.0
UTR500026,PAYMENT FOR ORD-1026 REF UTR500026,11458.84,INR,2026-08-03,0.0
UTR500027,PAYMENT FOR ORD-1027 REF UTR500027,2819.74,INR,2026-08-21,0.0
UTR500028,PAYMENT FOR ORD-1028 REF UTR500028,6033.48,INR,2026-08-13,0.0
UTR500029,PAYMENT FOR ORD-1029 REF UTR500029,12981.31,INR,2026-08-18,0.0
UTR500030,PAYMENT FOR ORD-1030 REF UTR500030,11387.73,INR,2026-08-18,0.0
UTR500031,PAYMENT FOR ORD-1031 REF UTR500031,6804.1,INR,2026-08-10,0.0
UTR500032,PAYMENT FOR ORD-1032 REF UTR500032,14592.38,INR,2026-08-09,0.0
UTR500033,PAYMENT FOR ORD-1033 REF UTR500033,4827.45,INR,2026-08-21,0.0
UTR500034,PAYMENT FOR ORD-1034 REF UTR500034,5921.75,INR,2026-08-05,0.0
UTR500035,PAYMENT FOR ORD-1035 REF UTR500035,5200.26,INR,2026-08-20,0.0
UTR500036,SETTLEMENT ORD-1036 FEE DEDUCTED,17773.72,INR,2026-08-12,43.27
UTR500037,SETTLEMENT ORD-1037 FEE DEDUCTED,6303.0,INR,2026-08-02,32.69
UTR500038,SETTLEMENT ORD-1038 FEE DEDUCTED,16639.3,INR,2026-08-16,49.12
UTR500039,SETTLEMENT ORD-1039 FEE DEDUCTED,13827.64,INR,2026-08-05,47.87
UTR500040,SETTLEMENT ORD-1040 FEE DEDUCTED,17676.86,INR,2026-08-17,26.93
UTR500041,SETTLEMENT ORD-1041 FEE DEDUCTED,9144.99,INR,2026-08-10,36.87
UTR500042,SETTLEMENT ORD-1042 FEE DEDUCTED,10106.83,INR,2026-08-17,19.92
UTR500043,SETTLEMENT ORD-1043 FEE DEDUCTED,12570.36,INR,2026-08-01,19.2
UTR500044,SETTLEMENT ORD-1044 FEE DEDUCTED,14728.79,INR,2026-08-03,12.35
UTR500045,SETTLEMENT ORD-1045 FEE DEDUCTED,3255.91,INR,2026-08-11,19.52
UTR500046,CREDIT ORD-1046 DELAYED SETTLEMENT,6063.47,INR,2026-08-07,0.0
UTR500047,CREDIT ORD-1047 DELAYED SETTLEMENT,6492.34,INR,2026-08-10,0.0
UTR500048,CREDIT ORD-1048 DELAYED SETTLEMENT,1678.52,INR,2026-08-06,0.0
UTR500049,CREDIT ORD-1049 DELAYED SETTLEMENT,3877.72,INR,2026-08-16,0.0
UTR500050,CREDIT ORD-1050 DELAYED SETTLEMENT,3818.35,INR,2026-08-04,0.0
UTR500051,CREDIT ORD-1051 DELAYED SETTLEMENT,2341.13,INR,2026-08-10,0.0
UTR500052,CREDIT ORD-1052 DELAYED SETTLEMENT,3953.17,INR,2026-08-07,0.0
UTR500053,CREDIT ORD-1053 DELAYED SETTLEMENT,7121.4,INR,2026-08-10,0.0
UTR500054,CREDIT ORD-1054 DELAYED SETTLEMENT,1354.12,INR,2026-08-06,0.0
UTR500055,CREDIT ORD-1055 DELAYED SETTLEMENT,7484.57,INR,2026-08-05,0.0
UTR500056,CMS/NEFT/N123456/ORD-1056/CLIENTPAY/TXN99,2685.39,INR,2026-08-14,0.0
UTR500057,CMS/NEFT/N123456/ORD-1057/CLIENTPAY/TXN99,1240.87,INR,2026-08-02,0.0
UTR500058,CMS/NEFT/N123456/ORD-1058/CLIENTPAY/TXN99,4669.33,INR,2026-08-09,0.0
UTR500059,CMS/NEFT/N123456/ORD-1059/CLIENTPAY/TXN99,3634.66,INR,2026-08-14,0.0
UTR500060,CMS/NEFT/N123456/ORD-1060/CLIENTPAY/TXN99,1354.54,INR,2026-08-05,0.0
UTR500061,CMS/NEFT/N123456/ORD-1061/CLIENTPAY/TXN99,3810.82,INR,2026-08-19,0.0
UTR500062,CMS/NEFT/N123456/ORD-1062/CLIENTPAY/TXN99,725.64,INR,2026-08-02,0.0
UTR500063,CMS/NEFT/N123456/ORD-1063/CLIENTPAY/TXN99,4823.51,INR,2026-08-02,0.0
UTR500064,CMS/NEFT/N123456/ORD-1064/CLIENTPAY/TXN99,3177.66,INR,2026-08-03,0.0
UTR500065,CMS/NEFT/N123456/ORD-1065/CLIENTPAY/TXN99,4737.18,INR,2026-08-04,0.0
UTR500066,PAYMENT ORD_ERR_1066,3972.6,INR,2026-08-19,0.0
UTR500067,PAYMENT ORD_ERR_1067,4286.87,INR,2026-08-14,0.0
UTR500068,PAYMENT ORD_ERR_1068,2021.3,INR,2026-08-09,0.0
UTR500069,PAYMENT ORD_ERR_1069,2978.93,INR,2026-08-09,0.0
UTR500070,PAYMENT ORD_ERR_1070,5645.09,INR,2026-08-11,0.0
UTR500071,DIRECT BANK DEPOSIT UTR500071,1328.37,INR,2026-08-21,0.0
UTR500072,DIRECT BANK DEPOSIT UTR500072,227.85,INR,2026-08-09,0.0
UTR500073,DIRECT BANK DEPOSIT UTR500073,2336.25,INR,2026-08-11,0.0
UTR500074,DIRECT BANK DEPOSIT UTR500074,2941.41,INR,2026-08-21,0.0
UTR500075,DIRECT BANK DEPOSIT UTR500075,2249.57,INR,2026-08-06,0.0
UTR500076,DIRECT BANK DEPOSIT UTR500076,2146.44,INR,2026-08-18,0.0
UTR500077,DIRECT BANK DEPOSIT UTR500077,128.04,INR,2026-08-18,0.0
UTR500078,DIRECT BANK DEPOSIT UTR500078,2840.65,INR,2026-08-03,0.0
UTR500079,DIRECT BANK DEPOSIT UTR500079,1682.21,INR,2026-08-05,0.0
UTR500080,DIRECT BANK DEPOSIT UTR500080,1789.28,INR,2026-08-12,0.0
UTR500081,CARD SETTLEMENT BATCH UTR500081,999.0,INR,2026-08-05,0.0
UTR500082,CARD SETTLEMENT BATCH UTR500082,999.0,INR,2026-08-05,0.0
UTR500083,CARD SETTLEMENT BATCH UTR500083,999.0,INR,2026-08-02,0.0
UTR500084,CARD SETTLEMENT BATCH UTR500084,999.0,INR,2026-08-02,0.0
UTR500085,CARD SETTLEMENT BATCH UTR500085,999.0,INR,2026-08-02,0.0
UTR500086,CARD SETTLEMENT BATCH UTR500086,999.0,INR,2026-08-02,0.0
UTR500087,BATCH PAY ORD-1087 AND ORD-1088,4000.0,INR,2026-08-08,0.0
UTR500088,BATCH PAY ORD-1089 AND ORD-1090,4000.0,INR,2026-08-18,0.0
