order_id,customer_name,amount,currency,order_date,payment_method
ORD-1001,Gamma Tech,2114.3,INR,2026-08-21,NEFT
ORD-1002,Acme Corp,2523.3,INR,2026-08-08,UPI
ORD-1003,Acme Corp,6617.87,INR,2026-08-19,UPI
ORD-1004,Epsilon Co,3873.58,INR,2026-08-07,UPI
ORD-1005,Epsilon Co,3383.15,INR,2026-08-18,CARD
ORD-1006,Gamma Tech,7013.53,INR,2026-08-08,UPI
ORD-1007,Gamma Tech,10623.02,INR,2026-08-06,RTGS
ORD-1008,Gamma Tech,3622.05,INR,2026-08-05,UPI
ORD-1009,Gamma Tech,6008.95,INR,2026-08-03,RTGS
ORD-1010,Acme Corp,4335.55,INR,2026-08-20,CARD
ORD-1011,Delta Retail,2309.98,INR,2026-08-18,UPI
ORD-1012,Epsilon Co,4751.09,INR,2026-08-18,RTGS
ORD-1013,Acme Corp,3288.18,INR,2026-08-19,UPI
ORD-1014,Acme Corp,11709.49,INR,2026-08-08,NEFT
ORD-1015,Delta Retail,6011.83,INR,2026-08-04,RTGS
ORD-1016,Beta Traders,5867.62,INR,2026-08-06,RTGS
ORD-1017,Beta Traders,1535.34,INR,2026-08-21,NEFT
ORD-1018,Gamma Tech,7202.77,INR,2026-08-06,NEFT
ORD-1019,Acme Corp,12721.35,INR,2026-08-11,NEFT
ORD-1020,Delta Retail,12173.16,INR,2026-08-02,RTGS
ORD-1021,Epsilon Co,3559.25,INR,2026-08-03,RTGS
ORD-1022,Delta Retail,10003.86,INR,2026-08-07,CARD
ORD-1023,Beta Traders,4340.76,INR,2026-08-05,RTGS
ORD-1024,Epsilon Co,6712.29,INR,2026-08-19,CARD
ORD-1025,Beta Traders,3680.15,INR,2026-08-12,CARD
ORD-1026,Acme Corp,11458.84,INR,2026-08-03,NEFT
ORD-1027,Delta Retail,2819.74,INR,2026-08-21,UPI
ORD-1028,Delta Retail,6033.48,INR,2026-08-13,RTGS
ORD-1029,Acme Corp,12981.31,INR,2026-08-18,UPI
ORD-1030,Gamma Tech,11387.73,INR,2026-08-18,UPI
ORD-1031,Delta Retail,6804.1,INR,2026-08-10,UPI
ORD-1032,Beta Traders,14592.38,INR,2026-08-09,UPI
ORD-1033,Epsilon Co,4827.45,INR,2026-08-21,NEFT
ORD-1034,Beta Traders,5921.75,INR,2026-08-05,UPI
ORD-1035,Acme Corp,5200.26,INR,2026-08-20,UPI
ORD-1036,Gamma Tech,17816.99,INR,2026-08-12,NEFT
ORD-1037,Acme Corp,6335.69,INR,2026-08-02,UPI
ORD-1038,Epsilon Co,16688.42,INR,2026-08-16,NEFT
ORD-1039,Beta Traders,13875.51,INR,2026-08-05,RTGS
ORD-1040,Beta Traders,17703.79,INR,2026-08-17,NEFT
ORD-1041,Gamma Tech,9181.86,INR,2026-08-10,CARD
ORD-1042,Acme Corp,10126.75,INR,2026-08-17,RTGS
ORD-1043,Beta Traders,12589.56,INR,2026-08-01,UPI
ORD-1044,Acme Corp,14741.14,INR,2026-08-03,UPI
ORD-1045,Delta Retail,3275.43,INR,2026-08-11,NEFT
ORD-1046,Epsilon Co,6063.47,INR,2026-08-05,CARD
ORD-1047,Delta Retail,6492.34,INR,2026-08-08,NEFT
ORD-1048,Delta Retail,1678.52,INR,2026-08-04,RTGS
ORD-1049,Acme Corp,3877.72,INR,2026-08-14,UPI
ORD-1050,Gamma Tech,3818.35,INR,2026-08-02,UPI
ORD-1051,Epsilon Co,2341.13,INR,2026-08-08,CARD
ORD-1052,Gamma Tech,3953.17,INR,2026-08-05,CARD
ORD-1053,Acme Corp,7121.4,INR,2026-08-08,CARD
ORD-1054,Epsilon Co,1354.12,INR,2026-08-04,UPI
ORD-1055,Beta Traders,7484.57,INR,2026-08-03,NEFT
ORD-1056,Beta Traders,2685.39,INR,2026-08-14,CARD
ORD-1057,Acme Corp,1240.87,INR,2026-08-02,CARD
ORD-1058,Delta Retail,4669.33,INR,2026-08-09,RTGS
ORD-1059,Epsilon Co,3634.66,INR,2026-08-14,CARD
ORD-1060,Beta Traders,1354.54,INR,2026-08-05,UPI
ORD-1061,Acme Corp,3810.82,INR,2026-08-19,RTGS
ORD-1062,Delta Retail,725.64,INR,2026-08-02,NEFT
ORD-1063,Acme Corp,4823.51,INR,2026-08-02,NEFT
ORD-1064,Beta Traders,3177.66,INR,2026-08-03,CARD
ORD-1065,Epsilon Co,4737.18,INR,2026-08-04,NEFT
ORD-1066,Epsilon Co,3972.6,INR,2026-08-19,UPI
ORD-1067,Epsilon Co,4286.87,INR,2026-08-14,RTGS
ORD-1068,Gamma Tech,2021.3,INR,2026-08-09,NEFT
ORD-1069,Gamma Tech,2978.93,INR,2026-08-09,CARD
ORD-1070,Acme Corp,5645.09,INR,2026-08-11,UPI
ORD-1071,Epsilon Co,1901.36,INR,2026-08-15,UPI
ORD-1072,Epsilon Co,1659.14,INR,2026-08-03,RTGS
ORD-1073,Acme Corp,2806.45,INR,2026-08-05,NEFT
ORD-1074,Delta Retail,926.46,INR,2026-08-12,RTGS
ORD-1075,Epsilon Co,2953.17,INR,2026-08-20,UPI
ORD-1076,Acme Corp,968.2,INR,2026-08-18,NEFT
ORD-1077,Acme Corp,434.74,INR,2026-08-09,NEFT
ORD-1078,Beta Traders,917.09,INR,2026-08-09,RTGS
ORD-1079,Gamma Tech,2093.74,INR,2026-08-07,CARD
ORD-1080,Acme Corp,2725.48,INR,2026-08-09,UPI
ORD-1081,Delta Retail,999.0,INR,2026-08-05,CARD
ORD-1082,Beta Traders,999.0,INR,2026-08-05,CARD
ORD-1083,Gamma Tech,999.0,INR,2026-08-02,CARD
ORD-1084,Gamma Tech,999.0,INR,2026-08-02,CARD
ORD-1085,Gamma Tech,999.0,INR,2026-08-02,CARD
ORD-1086,Beta Traders,999.0,INR,2026-08-02,CARD
ORD-1087,Acme Corp,1500.0,INR,2026-08-08,NEFT
ORD-1088,Gamma Tech,2500.0,INR,2026-08-08,NEFT
ORD-1089,Delta Retail,1500.0,INR,2026-08-18,NEFT
ORD-1090,Epsilon Co,2500.0,INR,2026-08-18,NEFT
